36.10228123,129.3850897,-131.9335145,-2.51375972,18.44581138,5
36.10216951,129.3849357,-108.2458545,-2.881273816,7.401123377,5
36.10214843,129.3848566,-137.9609361,-2.410930899,6.374614718,5
36.10210557,129.3848088,176.3102008,-1.491149799,9.688460042,5
36.10201845,129.3848157,118.6104597,-0.415101968,4.610241117,5
36.1019984,129.3848612,78.90627696,0.157119542,4.770802614,5
36.10200676,129.384914,36.09828398,0.836618919,10.97755883,5
36.10208697,129.3849864,-7.926926675,1.741454209,7.394935303,5
36.10215298,129.384975,44.63506366,0.685815848,10.24177627,5
36.10221898,129.3850557,0,0,0,0
